"","train","X","Y","Green8_5","Red8_5","Red.Edge8_5","NIR8_5","NDVI8_5","DSM8_5","StdVegHeight8_5","Green7_12","Red7_12","Red.Edge7_12","NIR7_12","NDVI7_12","DSM7_12","StdVegHeight7_12"
"1",2,306967.2186,4994499.1371,0.0748777,0.0596834,0.1779547,0.2117595,0.574494,178.6463165,0.0056167,0.0283175,0.0184736,0.0381164,0.0451607,0.574494,178.6463165,0.00454
"2",4,306824.8495,4994460.6415,0.0460903,0.0282292,0.1605051,0.2362031,0.8060777,179.3484192,0.0228328,0.0538526,0.03436,0.1405372,0.194305,0.8060777,179.3484192,0.0064746
"3",2,306929.6361,4994524.437,0.0871343,0.073161,0.2173692,0.256121,0.5207849,178.9282227,0.0042509,0.0417029,0.0283829,0.0873217,0.1070656,0.5207849,178.9282227,0.00214
"4",1,306793.4735,4994421.6227,0.0901591,0.0730917,0.1638149,0.1967591,0.5225898,178.9633179,0.0046576,0.0847882,0.0605423,0.1860489,0.2447335,0.5225898,178.9633179,0.0080005
"5",1,306859.5419,4994513.0049,0.0891566,0.0663849,0.2147332,0.2610587,0.5727568,179.1444855,0.0069071,0.1333101,0.0944201,0.3209763,0.4001498,0.5727568,179.1444855,0.0054928
"6",2,306825.6204,4994454.3632,0.0937364,0.0695049,0.257993,0.3239393,0.61141,179.159256,0.0074246,0.1425319,0.1112343,0.3563309,0.4439825,0.61141,179.159256,0.0126131
"7",3,306895.5874,4994460.4671,0.0516423,0.0377073,0.1087543,0.1252351,0.5247927,179.0354156,0.0017864,0.0202425,0.0085328,0.023248,0.0257845,0.5247927,179.0354156,0.0064086
"8",1,306683.0755,4994445.6489,0.1083772,0.0617518,0.2819822,0.3459664,0.6305961,177.557373,0.0047241,0.1133431,0.0783725,0.2738776,0.3230211,0.6305961,177.557373,0.0038795
"9",2,306710.7307,4994456.1245,0.1269307,0.1041688,0.3536976,0.4160736,0.5853735,178.1212158,0.007702,0.1686379,0.1127626,0.3837557,0.4746091,0.5853735,178.1212158,0.002712
"10",4,306729.5759,4994516.6354,0.0540014,0.0277894,0.149658,0.2394112,0.7285885,178.6708069,6.9e-06,0.0837579,0.052758,0.1818538,0.2649503,0.7285885,178.6708069,0.0136789
"11",4,306783.2204,4994527.709,0.0741271,0.0531269,0.1804976,0.2271987,0.6512697,178.9551697,0.0058954,0.0595608,0.0348097,0.1506705,0.1822212,0.6512697,178.9551697,0.0178853
"12",2,306882.2469,4994495.0081,0.1299457,0.0973765,0.3457682,0.4174369,0.6604193,179.2722473,0.0034783,0.1548268,0.1229184,0.4046744,0.4721356,0.6604193,179.2722473,0.0091847
